threshold_minutes,n_components,accuracy
10,2,0.8847422680412371
10,3,0.8824742268041237
10,4,0.8929896907216495
10,5,0.8870103092783506
20,2,0.8922768304914744
20,3,0.8900702106318957
20,4,0.8990972918756269
20,5,0.8906720160481444
30,2,0.8935952527112748
30,3,0.8892981379169225
30,4,0.9042357274401474
30,5,0.8911397585430735
60,2,0.8936350179742018
60,3,0.8902516388242757
60,4,0.8972298583209981
60,5,0.8845421865087756
120,2,0.8878544223444773
120,3,0.8836225137537029
120,4,0.8853152771900127
120,5,0.8872196360558612
